"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Graves Nunataks 98007","H5","82.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98008","H5","120.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98009","H5","116.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98010","H5","140.30000000000001","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98011","L5","104.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98012","H5","530","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98013","H4","697.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98014","H5","1130.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98015","H5","1201.9000000000001","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98016","H5","512.79999999999995","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98017","H5","341.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98018","H5","315.39999999999998","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98019","Eucrite-br","95.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98020","L5","200.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98021","H5","81.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98022","H5","62.7","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98023","H3.8","136.69999999999999","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98024","H3.8","59.1","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98025","CR2","14.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98026","Eucrite-br","68.400000000000006","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98027","H6","14.8","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98028","Acapulcoite","22.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98029","L5","8.9","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98030","Howardite","32.6","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98031","H4","2309.8000000000002","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98032","Ureilite","1699.5","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98033","Eucrite-br","123.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98034","H6","416.3","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98035","L5","248.4","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
"Graves Nunataks 98036","L6","182.2","Found","1998","-86.716670","-141.500000","(-86.71667, -141.5)"
