"name","recclass","mass","fall","year","reclat","reclong","GeoLocation"
"Mayodan","Iron, IIAB","15400","Found","1920","36.383330","-79.866670","(36.38333, -79.86667)"
"Merua","H5","71400","Fell","1920","25.483330","81.983330","(25.48333, 81.98333)"
"Morrill","Iron, IAB-an","1387","Found","1920","42.183330","-103.933330","(42.18333, -103.93333)"
"San Francisco Mountains","Iron, IVA","1700","Found","1920","35.000000","-112.000000","(35.0, -112.0)"
"Simmern","H5","1222","Fell","1920","49.983330","7.533330","(49.98333, 7.53333)"
"Tuzla","L6","236","Found","1920","44.016670","28.633330","(44.01667, 28.63333)"
"Unter-Mässing","Iron, IIC","80000","Found","1920","49.090280","11.333330","(49.09028, 11.33333)"
"Witchelina","H4","3637","Found","1920","-30.000000","138.000000","(-30.0, 138.0)"
"Wu-chu-mu-ch'in","Iron, IAB-ung","68860","Found","1920","45.500000","118.000000","(45.5, 118.0)"
"Beyrout","LL3.8","1100","Fell","1921","33.883330","35.500000","(33.88333, 35.5)"
"Cold Bay","Pallasite, PES","320","Found","1921","55.183330","-162.550000","(55.18333, -162.55)"
"Coolamon","L6","393","Found","1921","-34.816670","147.133330","(-34.81667, 147.13333)"
"El Qoseir","Iron, ungrouped","2405","Found","1921","26.283330","34.250000","(26.28333, 34.25)"
"Franklin","H5","9062","Found","1921","36.716670","-86.566670","(36.71667, -86.56667)"
"Haripura","CM2","315","Fell","1921","28.383330","75.783330","(28.38333, 75.78333)"
"Kamioka","H4","30","Found","1921","39.516670","140.366670","(39.51667, 140.36667)"
"Milly Milly","Iron, IIIAB","26500","Found","1921","-26.116670","116.666670","(-26.11667, 116.66667)"
"Pitts","Iron, IAB-ung","3760","Fell","1921","31.950000","-83.516670","(31.95, -83.51667)"
"Rose City","H5","10600","Fell","1921","44.516670","-83.950000","(44.51667, -83.95)"
"Samelia","Iron, IIIAB","2462","Fell","1921","25.666670","74.866670","(25.66667, 74.86667)"
"Sharps","H3.4","1265","Fell","1921","37.833330","-76.700000","(37.83333, -76.7)"
"Shikarpur","L6","3679.7","Fell","1921","25.850000","87.577500","(25.85, 87.5775)"
"Tuan Tuc","L6","13100","Fell","1921","9.666670","105.666670","(9.66667, 105.66667)"
"Uegit","Iron, IIIAB","252000","Found","1921","3.816670","43.333330","(3.81667, 43.33333)"
"Vaalbult","Iron, IAB-MG","11800","Found","1921","-29.750000","22.500000","(-29.75, 22.5)"
"Baldwyn","L6","345","Fell","1922","34.500000","-88.666670","(34.5, -88.66667)"
"Dungannon","Iron, IAB-MG","13000","Found","1922","36.850000","-82.450000","(36.85, -82.45)"
"Elsinora","H5","1797","Found","1922","-29.450000","143.600000","(-29.45, 143.6)"
"Florence","H3","3640","Fell","1922","30.833330","-97.766670","(30.83333, -97.76667)"
"Glasgow","Iron, IIIAB","20400","Found","1922","37.016670","-85.916670","(37.01667, -85.91667)"
"Hedeskoga","H5","3500","Fell","1922","55.466670","13.783330","(55.46667, 13.78333)"
"Mesa Verde Park","Iron, IAB-ung","3500","Found","1922","37.166670","-108.500000","(37.16667, -108.5)"
"Morden","Iron, IAB?","2426","Found","1922","-30.500000","142.333330","(-30.5, 142.33333)"
"Nagai","L6","1810","Fell","1922","38.121670","140.061670","(38.12167, 140.06167)"
"New Baltimore","Iron, ungrouped","20000","Found","1922","40.000000","-78.850000","(40.0, -78.85)"
"Patti","Iron","12","Fell","1922","38.133330","14.966670","(38.13333, 14.96667)"
"Piedade do Bagre","Iron, ungrouped","59000","Found","1922","-18.941670","-44.983330","(-18.94167, -44.98333)"
"Tieraco Creek","Iron, IIIAB","41700","Found","1922","-26.333330","118.333330","(-26.33333, 118.33333)"
"Tjerebon","L5","16500","Fell","1922","-6.666670","106.583330","(-6.66667, 106.58333)"
"Allen","H4","1407","Found","1923","33.100000","-96.700000","(33.1, -96.7)"
"Ashdon","L6","1300","Fell","1923","52.050000","0.300000","(52.05, 0.3)"
"Birni N'konni","H4","560","Fell","1923","13.766670","5.300000","(13.76667, 5.3)"
"Carbo","Iron, IID","454000","Found","1923","29.666670","-111.500000","(29.66667, -111.5)"
"Coldwater (iron)","Iron","18400","Found","1923","37.266670","-99.333330","(37.26667, -99.33333)"
"Dalgaranga","Mesosiderite-A","12200","Found","1923","-27.716670","117.250000","(-27.71667, 117.25)"
"Goodland","L4","3628","Found","1923","39.350000","-101.666670","(39.35, -101.66667)"
"Holetta","Stone-uncl","1415","Fell","1923","9.066670","38.416670","(9.06667, 38.41667)"
"Montferré","H5","149000","Fell","1923","43.390560","1.962500","(43.39056, 1.9625)"
"Nakhon Pathom","L6","23200","Fell","1923","13.733330","100.083330","(13.73333, 100.08333)"
"Newport","Pallasite, PMG","5600","Found","1923","35.600000","-91.266670","(35.6, -91.26667)"
"Savannah","Iron, IIIAB","60000","Found","1923","35.166670","-88.183330","(35.16667, -88.18333)"
"Seneca Township","Iron, IVA","11500","Found","1923","41.783330","-84.183330","(41.78333, -84.18333)"
"Serra de Magé","Eucrite-cm","1800","Fell","1923","-8.383330","-36.766670","(-8.38333, -36.76667)"
"Sierra Sandon","Iron, IIIAB","6330","Found","1923","-25.166670","-69.283330","(-25.16667, -69.28333)"
"Woodward County","H4","45500","Found","1923","36.500000","-99.500000","(36.5, -99.5)"
"Achilles","H5","16000","Found","1924","39.776670","-100.813330","(39.77667, -100.81333)"
"Beeler","LL6","11620","Found","1924","38.533330","-100.216670","(38.53333, -100.21667)"
"Béréba","Eucrite-mmict","18000","Fell","1924","11.650000","-3.650000","(11.65, -3.65)"
"Coldwater (stone)","H5","16000","Found","1924","37.266670","-99.333330","(37.26667, -99.33333)"
"Dermbach","Iron, ungrouped","1500","Found","1924","50.716670","10.116670","(50.71667, 10.11667)"
"Fenghsien-Ku","H5","82","Fell","1924","34.600000","116.750000","(34.6, 116.75)"
"Forksville","L6","6067","Fell","1924","36.783330","-78.083330","(36.78333, -78.08333)"
"Four Corners","Iron, IAB-ung","25000","Found","1924","37.000000","-109.050000","(37.0, -109.05)"
"Johnstown","Diogenite","40300","Fell","1924","40.350000","-104.900000","(40.35, -104.9)"
"La Colina","H5","2000","Fell","1924","-37.333330","-61.533330","(-37.33333, -61.53333)"
"Lake Labyrinth","LL6","25850","Found","1924","-30.533330","134.750000","(-30.53333, 134.75)"
"Muraid","L6","4703","Fell","1924","24.500000","90.216670","(24.5, 90.21667)"
"Olivenza","LL5","150000","Fell","1924","38.716670","-7.066670","(38.71667, -7.06667)"
"Santa Isabel","L6","5500","Fell","1924","-33.900000","-61.700000","(-33.9, -61.7)"
"Success","L6","3500","Fell","1924","36.483330","-90.666670","(36.48333, -90.66667)"
"Unkoku","OC","1000","Fell","1924","34.800000","127.000000","(34.8, 127.0)"
"Weekeroo Station","Iron, IIE-an","94200","Found","1924","-32.266670","139.866670","(-32.26667, 139.86667)"
"Aïr","L6","24000","Fell","1925","19.083330","8.383330","(19.08333, 8.38333)"
"Chaves","Howardite","2945","Fell","1925","41.933330","-7.466670","(41.93333, -7.46667)"
"Ellemeet","Diogenite","1470","Fell","1925","51.750000","4.000000","(51.75, 4.0)"
"Glenormiston","Iron, ungrouped","40800","Found","1925","-22.900000","138.716670","(-22.9, 138.71667)"
"Lanzenkirchen","L4","7000","Fell","1925","47.750000","16.233330","(47.75, 16.23333)"
"Lebedinnyi","Iron","410","Found","1925","55.950000","125.400000","(55.95, 125.4)"
"Morven","H4/5","7100","Found","1925","-44.816670","171.133330","(-44.81667, 171.13333)"
"Murchison Downs","Iron, ungrouped","33","Found","1925","-26.666670","119.000000","(-26.66667, 119.0)"
"Numakai","H4","363","Fell","1925","43.333330","141.866670","(43.33333, 141.86667)"
"Opava","Iron","14300","Found","1925","49.966670","17.900000","(49.96667, 17.9)"
"Patos de Minas (hexahedrite)","Iron, IIAB","32000","Found","1925","-18.583330","-46.533330","(-18.58333, -46.53333)"
"Patos de Minas (octahedrite)","Iron, IAB complex","200000","Found","1925","-18.583330","-46.533330","(-18.58333, -46.53333)"
"Queen's Mercy","H6","7000","Fell","1925","-30.116670","28.700000","(-30.11667, 28.7)"
"Renca","L5","300","Fell","1925","-32.750000","-65.283330","(-32.75, -65.28333)"
"Sandia Mountains","Iron, IIAB","45000","Found","1925","35.250000","-106.500000","(35.25, -106.5)"
"Tacoma","Iron, IAB complex","16.7","Found","1925","47.250000","-122.416670","(47.25, -122.41667)"
"Deport","Iron, IAB-sLL","15000","Found","1926","33.516670","-95.300000","(33.51667, -95.3)"
"Jajh deh Kot Lalu","EL6","973","Fell","1926","26.750000","68.416670","(26.75, 68.41667)"
"Komagome","Iron","238","Fell","1926","35.733330","139.750000","(35.73333, 139.75)"
"Lua","L5","9241","Fell","1926","24.950000","75.150000","(24.95, 75.15)"
